ratio_id,country_id,year,students_per_staff
193,139.0,2018,14.29679
194,205.0,2018,19.77539
195,66.0,2018,11.42648
196,107.0,2018,14.43403
197,127.0,2018,10.14234
198,12.0,2018,25.13729
199,148.0,2018,13.8195
200,5.0,2019,15.70791
201,169.0,2019,13.45222
202,58.0,2019,21.36473
203,34.0,2019,11.31964
204,161.0,2019,24.0853
205,156.0,2019,12.83478
206,72.0,2019,27.10383
207,168.0,2019,16.80305
208,75.0,2019,11.90282
209,30.0,2019,15.69291
210,182.0,2019,12.16296
211,153.0,2019,12.94958
212,27.0,2019,14.92457
213,179.0,2019,16.48326
214,189.0,2019,11.44173
215,85.0,2019,12.11052
216,202.0,2019,11.43026
217,24.0,2019,23.37208
218,74.0,2019,2.864649
219,3.0,2019,20.21226
220,21.0,2019,14.53602
221,37.0,2019,4.948824
222,52.0,2019,16.89936
223,203.0,2019,17.9675
224,87.0,2019,14.85763
225,69.0,2019,9.112878
226,76.0,2019,16.73355
227,114.0,2019,13.53463
228,139.0,2019,14.54308
229,205.0,2019,19.42708
230,66.0,2019,11.28228
231,107.0,2019,14.34475
232,127.0,2019,10.00074
233,12.0,2019,23.21896
234,148.0,2019,13.63643
235,5.0,2020,15.69422
236,169.0,2020,14.22157
237,58.0,2020,18.81208
238,34.0,2020,11.8633
239,161.0,2020,25.6707
240,156.0,2020,13.00607
241,72.0,2020,27.20716
242,168.0,2020,16.18326
243,75.0,2020,11.70201
244,30.0,2020,15.76558
245,182.0,2020,12.5084
246,153.0,2020,12.25018
247,27.0,2020,14.41809
248,179.0,2020,16.65553
249,189.0,2020,13.03419
250,85.0,2020,11.35505
251,202.0,2020,11.29348
252,3.0,2020,20.82413
253,21.0,2020,15.01246
254,37.0,2020,4.920195
255,52.0,2020,16.28694
256,203.0,2020,34.66381
257,87.0,2020,14.58793
258,69.0,2020,9.211182
259,76.0,2020,16.45442
260,114.0,2020,13.0364
261,139.0,2020,15.35263
262,205.0,2020,19.80741
263,66.0,2020,11.36469
264,107.0,2020,13.62918
265,127.0,2020,9.878175
266,12.0,2020,21.91156
267,148.0,2020,13.49483
268,5.0,2021,20.64625
269,169.0,2021,13.98962
270,58.0,2021,21.99448
271,34.0,2021,12.44101
272,161.0,2021,26.36722
273,156.0,2021,13.40564
274,72.0,2021,28.16282
275,168.0,2021,16.4964
276,75.0,2021,11.5779
277,30.0,2021,14.26474
278,182.0,2021,12.79193
279,153.0,2021,12.29586
280,27.0,2021,13.39476
281,179.0,2021,17.14978
282,189.0,2021,13.71917
283,135.0,2021,49.1202
284,85.0,2021,11.74017
285,202.0,2021,11.40414
286,74.0,2021,14.35372
287,3.0,2021,20.53289
288,21.0,2021,13.41827
289,37.0,2021,4.731926
290,52.0,2021,15.43542
291,203.0,2021,19.73353
292,87.0,2021,14.85293
293,69.0,2021,9.617854
294,76.0,2021,17.29781
295,114.0,2021,12.59417
296,139.0,2021,15.35263
297,205.0,2021,20.72344
298,66.0,2021,11.6965
299,107.0,2021,14.1034
300,127.0,2021,10.19677
301,12.0,2021,21.60427
302,148.0,2021,13.37512
303,5.0,2022,19.5385
304,169.0,2022,14.03841
305,58.0,2022,22.49974
306,34.0,2022,11.75228
307,161.0,2022,27.30492
308,72.0,2022,26.49259
309,168.0,2022,16.67341
310,75.0,2022,11.33497
311,30.0,2022,15.65067
312,182.0,2022,12.50297
313,153.0,2022,11.32624
314,27.0,2022,14.43433
315,179.0,2022,17.91547
316,189.0,2022,13.71925
317,135.0,2022,49.3149
318,85.0,2022,11.28634
319,202.0,2022,11.23537
320,106.0,2022,8.905697
321,74.0,2022,13.82864
322,3.0,2022,20.24669
323,21.0,2022,13.44244
324,37.0,2022,4.453947
325,52.0,2022,14.92396
326,203.0,2022,16.62971
327,87.0,2022,13.93279
328,69.0,2022,9.400867
329,76.0,2022,16.09191
330,28.0,2022,26.58128
331,114.0,2022,12.64722
332,139.0,2022,15.25978
333,205.0,2022,19.95971
334,66.0,2022,11.89538
335,107.0,2022,10.64058
336,127.0,2022,10.47968
337,12.0,2022,20.80557
338,148.0,2022,13.07184
339,5.0,2023,19.48365
340,169.0,2023,14.18411
341,58.0,2023,21.96966
342,34.0,2023,11.61116
343,161.0,2023,28.77427
344,168.0,2023,16.63152
345,75.0,2023,11.21536
346,30.0,2023,14.33782
347,182.0,2023,12.02335
348,153.0,2023,11.03055
349,27.0,2023,15.29454
350,179.0,2023,14.65325
351,189.0,2023,13.55504
352,135.0,2023,49.00129
353,85.0,2023,10.97598
354,202.0,2023,10.72621
355,106.0,2023,8.247781
356,74.0,2023,13.93321
357,3.0,2023,19.62012
358,21.0,2023,13.55285
359,37.0,2023,4.44556
360,52.0,2023,15.18457
361,203.0,2023,17.5124
362,87.0,2023,13.75615
363,69.0,2023,9.026258
364,76.0,2023,16.36899
365,114.0,2023,12.47615
366,139.0,2023,12.32433
367,205.0,2023,19.31314
368,66.0,2023,11.95209
369,107.0,2023,11.56812
370,127.0,2023,10.11223
371,12.0,2023,22.29476
372,148.0,2023,12.94385
