year,percentage,gender,country_id,graduation_id
2009,8.3618,Male,213.0,GRD0358
2010,10.4436,Male,213.0,GRD0359
2011,13.9797,Male,213.0,GRD0360
2012,13.1539,Male,213.0,GRD0361
2013,19.9638,Male,213.0,GRD0362
2014,22.9638,Male,213.0,GRD0363
2015,21.8145,Male,213.0,GRD0364
2016,22.9653,Male,213.0,GRD0365
2017,23.3359,Male,213.0,GRD0366
2018,22.4064,Male,213.0,GRD0367
2019,24.4837,Male,213.0,GRD0368
2020,26.493,Male,213.0,GRD0369
2021,31.7645,Male,213.0,GRD0370
2022,2.3505,Male,213.0,GRD0371
2023,30.7071,Male,213.0,GRD0372
2000,13.3917,Male,168.0,GRD0373
2001,14.0728,Male,168.0,GRD0374
2002,14.5592,Male,168.0,GRD0375
2003,15.8014,Male,168.0,GRD0376
2004,19.6795,Male,168.0,GRD0377
2005,23.7076,Male,168.0,GRD0378
2006,27.8736,Male,168.0,GRD0379
2007,31.9953,Male,168.0,GRD0380
2008,32.8768,Male,168.0,GRD0381
2009,31.3155,Male,168.0,GRD0382
2010,31.457,Male,168.0,GRD0383
2011,31.7314,Male,168.0,GRD0384
2012,31.759,Male,168.0,GRD0385
2013,33.4451,Male,168.0,GRD0386
2014,32.6523,Male,168.0,GRD0387
2015,29.1133,Male,168.0,GRD0388
2016,27.5951,Male,168.0,GRD0389
2017,30.3191,Male,168.0,GRD0390
2018,31.8899,Male,168.0,GRD0391
2019,31.1622,Male,168.0,GRD0392
2020,31.3368,Male,168.0,GRD0393
2021,31.469,Male,168.0,GRD0394
2022,31.36,Male,168.0,GRD0395
2023,31.4303,Male,168.0,GRD0396
2000,20.1744,Male,75.0,GRD0397
2001,18.6846,Male,75.0,GRD0398
2002,18.0704,Male,75.0,GRD0399
2003,18.0752,Male,75.0,GRD0400
2004,18.7899,Male,75.0,GRD0401
2005,19.0662,Male,75.0,GRD0402
2006,20.1572,Male,75.0,GRD0403
2007,21.9975,Male,75.0,GRD0404
2008,24.3907,Male,75.0,GRD0405
2009,27.5802,Male,75.0,GRD0406
2010,27.7161,Male,75.0,GRD0407
2011,29.5198,Male,75.0,GRD0408
2012,30.4868,Male,75.0,GRD0409
2015,40.6049,Male,75.0,GRD0410
2016,38.0826,Male,75.0,GRD0411
2017,37.8796,Male,75.0,GRD0412
2018,36.5788,Male,75.0,GRD0413
2019,45.3483,Male,75.0,GRD0414
2020,40.4281,Male,75.0,GRD0415
2021,44.4659,Male,75.0,GRD0416
2022,43.7079,Male,75.0,GRD0417
2023,43.4928,Male,75.0,GRD0418
2005,0.9768,Male,49.0,GRD0419
2001,24.942,Male,30.0,GRD0420
2002,23.3892,Male,30.0,GRD0421
2003,25.1573,Male,30.0,GRD0422
2004,33.8484,Male,30.0,GRD0423
2005,37.821,Male,30.0,GRD0424
2006,37.0885,Male,30.0,GRD0425
2007,39.8143,Male,30.0,GRD0426
2008,37.5878,Male,30.0,GRD0427
2009,37.5239,Male,30.0,GRD0428
2010,36.3212,Male,30.0,GRD0429
2011,38.0287,Male,30.0,GRD0430
2012,35.8343,Male,30.0,GRD0431
2013,40.8738,Male,30.0,GRD0432
2014,42.7798,Male,30.0,GRD0433
2017,44.5371,Male,30.0,GRD0434
2018,44.0057,Male,30.0,GRD0435
2019,43.8931,Male,30.0,GRD0436
2020,46.7121,Male,30.0,GRD0437
2021,48.0619,Male,30.0,GRD0438
2023,47.5553,Male,30.0,GRD0439
2012,14.6139,Male,32.0,GRD0440
2014,14.4178,Male,32.0,GRD0441
2015,14.6132,Male,32.0,GRD0442
2016,14.7853,Male,32.0,GRD0443
2017,21.0515,Male,32.0,GRD0444
2012,20.0686,Male,92.0,GRD0445
2013,23.0217,Male,92.0,GRD0446
2014,22.8787,Male,92.0,GRD0447
2017,17.5089,Male,92.0,GRD0448
2018,18.1068,Male,92.0,GRD0449
2019,24.2329,Male,92.0,GRD0450
2020,27.9533,Male,92.0,GRD0451
2021,29.6471,Male,92.0,GRD0452
2022,25.9437,Male,92.0,GRD0453
2023,25.8432,Male,92.0,GRD0454
2024,24.8132,Male,92.0,GRD0455
2013,19.0923,Male,99.0,GRD0456
2014,18.1776,Male,99.0,GRD0457
2015,27.4333,Male,99.0,GRD0458
2016,29.2385,Male,99.0,GRD0459
2018,29.8336,Male,99.0,GRD0460
2023,44.8455,Male,99.0,GRD0461
2001,21.596,Male,95.0,GRD0462
2002,20.7676,Male,95.0,GRD0463
2003,20.8955,Male,95.0,GRD0464
2004,21.0338,Male,95.0,GRD0465
2005,23.6985,Male,95.0,GRD0466
2006,23.7752,Male,95.0,GRD0467
2007,23.1658,Male,95.0,GRD0468
2008,23.024,Male,95.0,GRD0469
2009,21.988,Male,95.0,GRD0470
2010,22.3825,Male,95.0,GRD0471
2013,22.6548,Male,95.0,GRD0472
2016,15.7225,Male,95.0,GRD0473
2022,29.5671,Male,95.0,GRD0474
2023,35.7342,Male,95.0,GRD0475
2000,2.2493,Male,118.0,GRD0476
2001,4.2102,Male,118.0,GRD0477
2002,4.5511,Male,118.0,GRD0478
2003,4.7559,Male,118.0,GRD0479
